"http://ieeexplore.ieee.org/myprojects/showProjectListings.jsp?projectId=269494",2013/12/14 13:49:17
"Document Title","Authors","Author Affiliations","Publication Title","Publication Date","Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","DOE Terms","PACS Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Date Added To Xplore,"Meeting Date","Publisher","Sponsors",Document Identifier,Document Notes,Document Tags,Date Added,Update Date
"Improving the Accuracy of UML Class Model Recovery","Kun Wang; Wuwei Shen","Michigan Univ., Kalamazoo","Computer Software and Applications Conference, 2007. COMPSAC 2007. 31st Annual International","24-27 July 2007","2007","1","","387","90","The gap between UML class models and their implementations impedes program understanding and analysis, and is a source of program errors. Although many reverse engineering techniques were proposed to bridge this gap, two major problems still exist. First, the accuracy of association inference from container classes is not adequate without considering iterators. Second, associations implemented by inherited fields are missed by existing techniques. In this paper, we present an approach to precisely and automatically recover a class model from Java byte code. Our approach tackles the above problems and improves the accuracy of the recovered models. The preliminary empirical results show that our approach achieved a higher accuracy for association inference than existing reverse engineering tools.","0730-3157","0-7695-2870-8","","10.1109/COMPSAC.2007.128","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4291029","","Bridges;Computer errors;Computer languages;Computer science;Containers;Impedance;Java;Reverse engineering;Software systems;Unified modeling language","Java;Unified Modeling Language;program diagnostics;reverse engineering;system recovery","Java byte code;UML class model recovery;association inference;container classes;iterators;program analysis;program understanding;reverse engineering","","","","0","","11","","","20070820","","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:29 PM EST","Dec. 14, 2013 1:29 PM EST"
"Empirical assessment of UML static object diagrams","Torchiano, Marco","Dipt. di Automatica e Informatica, Politecnico di Torino, Italy","Program Comprehension, 2004. Proceedings. 12th IEEE International Workshop on","24-26 June 2004","2004","","","226","230","The essential UML logic diagrams are the class diagrams: they represent the classes of objects that make up a program. Object diagrams are used as the basis to show scenarios of dynamic evolution of the software. The use of object diagrams to depict static structure is very rare. The purpose of this study is to investigate whether the use of static object diagrams can improve the comprehension of software systems. We conducted a study with 17 graduate students during a software engineering course. The students were asked to answer questions about a software system. The system was described either with a class diagram or with both a class diagram and an object diagram. The student asked multiple choice questions on four different systems. This study revealed that there is a statistically significant difference in the comprehension achievement for two of the systems. The effect of the presence of object diagrams can be classified of medium size. These results allow us to formulate new research questions that guide our future work in this area.","1092-8138","0-7695-2149-5","","10.1109/WPC.2004.1311064","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1311064","","Application software;Automatic logic units;Books;Collaboration;Object oriented modeling;Programming profession;Runtime;Software engineering;Software systems;Unified modeling language","Unified Modeling Language;diagrams;object-oriented programming;reverse engineering","UML logic diagrams;class diagrams;object diagrams;software comprehension;software engineering course;software evolution;software systems","","","","3","","8","","","20040712","","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:29 PM EST","Dec. 14, 2013 1:29 PM EST"
"Frontiers of reverse engineering: A conceptual model","Canfora, G.; Di Penta, M.","RCOST - Univ. of Sannio, Benevento","Frontiers of Software Maintenance, 2008. FoSM 2008.","Sept. 28 2008-Oct. 4 2008","2008","","","38","47","Software reverse engineering is a crucial task to reconstruct high-level views of a software system - with the purpose of understanding and/or maintaining it - when the only reliable source of information is the source code, or even the system binaries. This paper discusses key reverse engineering concepts through a UML conceptual model. Specifically, the model is composed of a set of UML class diagrams describing relationships existing among reverse engineering processes, tools, artifacts, and stakeholders.","","978-1-4244-2654-6","978-1-4244-2655-3","10.1109/FOSM.2008.4659247","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4659247","","Code standards;Documentation;Hardware;Information resources;Performance analysis;Reverse engineering;Software maintenance;Software protection;Software systems;Unified modeling language","Unified Modeling Language;reverse engineering;software engineering","UML class diagrams;software reverse engineering;software system;source code","","","","0","","59","","","20081024","","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:29 PM EST","Dec. 14, 2013 1:29 PM EST"
"Pattern-based design recovery from object-oriented languages to object process methodology","Dori, D.; Perelman, V.; Shlezinger, G.; Reinhartz-Berger, I.","Technion-Israel Inst. of Technol., Haifa, Israel","Software - Science, Technology and Engineering, 2005. Proceedings. IEEE International Conference on","22-23 Feb. 2005","2005","","","77","82","Keeping large software projects well documented is expensive and time consuming. Small code changes seldom propagate up to the design level. Therefore, design of large software becomes incoherent with the actual code. Yet understanding the original design intentions is crucial for supporting the life cycle of the software. Reverse engineering (RE) is the process of constructing a model of a system at a level that is more abstract than the source level at which the system is specified. In software, this amounts primarily to recovering the system design from its existing code. Most existing RE tools are UML-based. The majority of them recover only static aspects of the design, displayed by class diagrams. Others use pattern detection techniques to recover some of the high-level behavior. In this work, we argue that modeling dynamic behavior of even moderately complex systems is hardly feasible with UML due to its lack of hierarchy. As an alternative, we propose RE that is based on object process methodology (OPM), which provides a hierarchical view and a simple representation of design patterns.","","0-7695-2335-8","","10.1109/SWSTE.2005.16","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1421067","","Application software;Documentation;Iris;Object oriented modeling;Reverse engineering;Software design;Software maintenance;Software systems;Unified modeling language;Writing","Unified Modeling Language;object-oriented languages;object-oriented methods;object-oriented programming;reverse engineering","UML;object process methodology;object-oriented languages;pattern-based design recovery;reverse engineering;software projects","","","","0","","15","","","20050523","","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:29 PM EST","Dec. 14, 2013 1:29 PM EST"
"WARE: a tool for the reverse engineering of Web applications","Di Lucca, G.A.; Fasolino, A.R.; Pace, F.; Tramontana, P.; De Carlini, U.","Dipt. di Informatica e Sistemistica, Universita di Napoli Federico II, Italy","Software Maintenance and Reengineering, 2002. Proceedings. Sixth European Conference on","2002","2002","","","241","250","The development of Web sites and applications is increasing dramatically to satisfy the market requests. The software industry is facing the new demand under the pressure of a very short time-to-market and an extremely high competition. As a result, Web sites and applications are usually developed without a disciplined process: Web applications are directly coded and no, or poor, documentation is produced to support the subsequent maintenance and evolution activities, thus compromising the quality of the applications. This paper presents a tool for reverse engineering Web applications. UML diagrams are used to model a set of views that depict several aspects of a Web application at different abstraction levels. The recovered diagrams ease the comprehension of the application and support its maintenance and evolution. A case study, carried out with the aim of assessing the effectiveness of the proposed tool, allowed relevant information about some real Web applications to be successfully recovered and modeled by UML diagrams","1534-5351","0-7695-1438-3","","10.1109/CSMR.2002.995811","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=995811","","Application software;Computer industry;Documentation;Internet;Pressing;Reverse engineering;Software systems;Time to market;Unified modeling language;World Wide Web","Internet;information resources;program testing;reverse engineering;software engineering;specification languages","UML diagrams;WARE;Web applications;Web sites;abstraction levels;reverse engineering;software development","","","","24","","24","","","20020807","11 Mar 2002-13 Mar 2002","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:29 PM EST","Dec. 14, 2013 1:29 PM EST"
"Reverse engineering as a means of improving and adapting legacy finite element code","Hoole, S.R.H.; Arudchelvam, T.","Dept. of Eng. & Sci., Rensselaer Polytech. Inst., Hartford, CT, USA","Industrial and Information Systems (ICIIS), 2009 International Conference on","28-31 Dec. 2009","2009","","","227","232","The development of code for finite elements-based field computation has been going on at a pace since the 1970s, yielding code that was not put through the software lifecycle - where code is developed through a sequential process of requirements elicitation from the user/client to design, analysis, implementation and testing (with loops going back from the second stage onwards as dissatisfactions are identified or questions arise) and release and maintenance. As a result, today we have legacy code running into millions of lines, implemented without planning and not using proper state-of-the-art software design tools. It is necessary to redo this code to exploit object oriented facilities and make corrections or run on the web with Java. Object oriented code's principal advantage is reusability. It is ideal for describing autonomous agents so that values inside a method are private unless otherwise so provided - that is encapsulation makes programming neat and less error-prone in unexpected situations. Recent advances in software make such reverse engineering/reengineering of this code into object oriented form possible. The purpose of this paper is to show how existing finite element code can be reverse/re-engineered to improve it. Taking sections of working finite element code, especially matrix computation for equation solution as examples, we put it through reverse engineering to arrive at the effective UML design by which development was done and then translate it to Java. This then is the starting point for analyzing the design and improving it without having to throw away any of the old code.","","978-1-4244-4836-4","978-1-4244-4837-1","10.1109/ICIINFS.2009.5429859","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5429859","Class and Sequence Diagrams;FORTRAN;Finite Elements;Java;Legacy Software;Reengineering;Reverse Engineering;UML","Autonomous agents;Encapsulation;Finite element methods;Java;Life testing;Reverse engineering;Sequential analysis;Software design;Software maintenance;Software testing","Java;Unified Modeling Language;finite element analysis;object-oriented programming;reverse engineering;software maintenance","Java;UML design;autonomous agents;finite elements-based field computation;legacy code;object-oriented code;reverse engineering;software lifecycle","","","","0","","18","","","20100311","","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:29 PM EST","Dec. 14, 2013 1:29 PM EST"
"An approach for reverse engineering of web-based applications","Di Lucca, G.A.; Di Penta, M.; Antoniol, G.; Casazza, G.","Dipt. di Inf. e Sistemistica, Naples Univ., Italy","Reverse Engineering, 2001. Proceedings. Eighth Working Conference on","2001","2001","","","231","240","The new possibilities offered by WEB applications are pervasively and radically changing several areas. WEB applications, compared to WEB sites, offer substantially greater opportunities: a WEB application provides the WEB user with a means to modify the site status. WEB applications must cope with an extremely short development/evolution life cycle. Usually, they are implemented without producing any useful documentation for subsequent maintenance and evolution, thus compromising the desired high level of flexibility, maintainability, and adaptability that is de-facto necessary to compete and survive to market shakeout. This paper presents an approach inspired by the reverse engineering arena and a tool prototype supporting WEB application reverse engineering activities, to help maintain, comprehend and evolve WEB applications. The approach defines a set of abstract views, modeled using UML diagrams, organized into a hierarchy of different abstraction levels, depicting several aspects of a WEB application to facilitate its comprehension. A real world WEB application was used as case study, and information previously not available was recovered, with encouraging results","1095-1350","0-7695-1303-4","","10.1109/WCRE.2001.957827","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=957827","","Application software;Companies;Documentation;Globalization;Prototypes;Reverse engineering;Software maintenance;Unified modeling language;Web sites;World Wide Web","Internet;information resources;reverse engineering;specification languages","UML diagrams;WEB sites;adaptability;life cycle;maintainability;reverse engineering;tool prototype;web-based applications","","","","11","","","","","20020807","02 Oct 2001-05 Oct 2001","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:29 PM EST","Dec. 14, 2013 1:29 PM EST"
"A language and platform-independent approach for reverse engineering","Duffy, E.B.; Malloy, B.A.","Dept. of Comput. Sci., Clemson Univ., SC, USA","Software Engineering Research, Management and Applications, 2005. Third ACIS International Conference on","11-13 Aug. 2005","2005","","","415","422","We present an approach for reverse engineering a program to capture design and implementation artifacts such as metrics and UML class or sequence diagrams. We also describe an implementation of our approach, libthorin. However, unlike previous reverse engineering tools, libthorin can be applied to a variety of programming languages including C, C++, Java, Fortran 90 and C#. Moreover, libthorin can provide both coarse-grained and fine-grained information about the program under development to enable re-engineering of information and high-level diagrams such as metrics and class diagrams, or low-level diagrams such as sequence diagrams, control flow graphs and other program representations and analysis tools for testing, debugging and profiling an application under development.","","0-7695-2297-1","","10.1109/SERA.2005.9","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1563191","","Application software;Computer languages;Debugging;Flow graphs;Information analysis;Java;Reverse engineering;Software testing;Unified modeling language;Visualization","Unified Modeling Language;XML;flowcharting;reverse engineering;software metrics;software tools;systems re-engineering;tree data structures","UML class diagram;XML;control flow graph;information reengineering;libthorin tool;platform-independent approach;program analysis tool;program debugging;program profiling;program representation;program testing;programming languages;reverse engineering;sequence diagram;software metrics","","","","0","","18","","","20051227","","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:29 PM EST","Dec. 14, 2013 1:29 PM EST"
"Reverse engineering Web applications","Tramontana, P.","Dipt. di Informatica e Sistemistica, Universita di Napoli Federico II, Italy","Software Maintenance, 2005. ICSM'05. Proceedings of the 21st IEEE International Conference on","26-29 Sept. 2005","2005","","","705","708","The heterogeneous and dynamic nature of components making up a Web application, the lack of effective programming mechanisms for implementing basic software engineering principles in it, and undisciplined development processes induced by the high pressure of a very short time-to-market, make Web application maintenance a challenging problem. A relevant issue consists of reusing the methodological and technological experience in the sector of traditional software maintenance, and exploring the opportunity of using reverse engineering to support effective Web application maintenance. This article presents an approach for reverse engineering Web applications. The approach include the definition of reverse engineering methods and supporting software tools, that help to understand existing undocumented Web applications to be maintained or evolved, through the reconstruction of UML diagrams. Some validation experiments have been carried out and they showed the usefulness of the proposed approach and highlighted possible areas for improvement of its effectiveness.","1063-6773","0-7695-2368-4","","10.1109/ICSM.2005.77","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1510178","","Application software;Documentation;Dynamic programming;Multimedia databases;Reverse engineering;Software maintenance;Software systems;Time to market;Unified modeling language;Web and internet services","Internet;Unified Modeling Language;reverse engineering;software maintenance;software tools","UML diagrams;Web application reverse engineering;software engineering principles;software maintenance;software tools","","","","0","","14","","","20051121","","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:29 PM EST","Dec. 14, 2013 1:29 PM EST"
"Improving program comprehension by enhancing program constructs: An analysis of the Umple language","Forward, A.; Lethbridge, T.C.; Brestovansky, D.","Sch. of Inf. Technol. & Eng. (SITE), Univ. of Ottawa, Ottawa, ON","Program Comprehension, 2009. ICPC '09. IEEE 17th International Conference on","17-19 May 2009","2009","","","311","312","Umple is a set of extensions to object-oriented languages that provides a concrete syntax for UML abstractions like associations. We argue that Umple will help increase program comprehension by allowing developers to describe a system at a more abstract level, and by reducing the volume of code.","1092-8138","978-1-4244-3998-0","978-1-4244-3997-3","10.1109/ICPC.2009.5090073","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5090073","","Application software;Computer languages;Concrete;Information analysis;Information technology;Investments;Object oriented modeling;Object oriented programming;Risk analysis;Unified modeling language","Unified Modeling Language;object-oriented languages;programming languages","UML abstractions;language analysis;object-oriented languages;program comprehension;program constructs","","","","3","","8","","","20090619","","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:29 PM EST","Dec. 14, 2013 1:29 PM EST"
"Reverse Engineering Finite State Machines from Rich Internet Applications","Amalfitano, D.; Fasolino, A.R.; Tramontana, P.","Consorzio Interuniversitario Naz. per l''Inf., Naples","Reverse Engineering, 2008. WCRE '08. 15th Working Conference on","15-18 Oct. 2008","2008","","","69","73","In the last years, rich Internet applications (RIAs) have emerged as a new generation of Web applications offering greater usability and interactivity than traditional ones. At the same time, RIAs introduce new issues and challenges in all the Web application lifecycle activities. As an example, a key problem with RIAs consists of defining suitable software models for representing them and validating reverse engineering techniques for obtaining these models effectively.This paper presents a reverse engineering approach for abstracting finite state machines representing the client-side behaviour offered by RIAs. The approach is based on dynamic analysis of the RIA and employs clustering techniques for solving the problem of state explosion of the state machine. A case study illustrated in the paper shows the results of a preliminary experiment where the proposed process has been executed with success for reverse engineering the behaviour of an existing RIA.","1095-1350","978-0-7695-3429-9","","10.1109/WCRE.2008.17","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4656395","Ajax;FSM;RIA;Reverse Engineering","Application software;Automata;Explosions;Information retrieval;Internet;Java;Reverse engineering;Search engines;US Department of Transportation;Usability","Internet;finite state machines;pattern clustering;reverse engineering","Web application lifecycle;clustering techniques;finite state machines;reverse engineering;rich Internet applications;state explosion","","","","6","","15","","","20081024","","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:29 PM EST","Dec. 14, 2013 1:29 PM EST"
"Towards the reverse engineering of UML sequence diagrams","Briand, L.C.; Labiche, Y.; Miao, Y.","Carleton University","Reverse Engineering, 2003. WCRE 2003. Proceedings. 10th Working Conference on","13-16 Nov. 2003","2003","","","57","66","<div style=""font-variant: small-caps; font-size: .9em;"">First Page of the Article</div><img class=""img-abs-container"" style=""width: 95%; border: 1px solid #808080;"" src=""/xploreAssets/images/absImages/01287237.png"" border=""0"">","1095-1350","0-7695-2027-8","","10.1109/WCRE.2003.1287237","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1287237","","Context modeling;Data visualization;Information analysis;Information retrieval;Object oriented modeling;Reverse engineering;Software quality;System testing;Systems engineering and theory;Unified modeling language","","","","","","20","","","","","20040419","","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:29 PM EST","Dec. 14, 2013 1:29 PM EST"
"Tracing of state machine execution in the model-driven development framework","Derezinska, A.; Szczykulski, M.","Inst. of Comput. Sci., Warsaw Univ. of Technol., Warsaw, Poland","Information Technology (ICIT), 2010 2nd International Conference on","28-30 June 2010","2010","","","109","112","Framework for eXecutable UML (FXU) supports a model-driven approach for creation of reliable applications in C#. Basing on UML classes and their state machines, a source code is generated and executed using a run-time library. All modeling concepts of UML behavioral state machines can be used in the FXU. Tracing of program execution in terms of elements of origin state machines assists program comprehension and verification. This paper presents a new component of the framework for observing traces of program execution. The state machine tracing improved model-driven engineering of an application in comparison to the direct analysis of textual logs generated during the program execution. We discuss system requirements, steps of tracing process and advantages and disadvantages of the solution. The approach was applied in the development of an application simulating a presence server for the status service of a social network model.","","978-1-4244-8182-8","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5553380","Model-Driven Development;UML;state machine","Software;Unified modeling language","Unified Modeling Language;finite state machines;program diagnostics;program verification;source coding","C#;UML behavioral state machines;eXecutable UML framework;model-driven development framework;program comprehension;program verification;run-time library;source code;state machine execution tracing","","","","0","","12","","","20100823","","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:21 PM EST","Dec. 14, 2013 1:21 PM EST"
